id	filename	md5	size	state
d11a0e1e-dd44-4a7b-ac67-b09e21c7b221	lbl.gov_GBM.HuEx-1_0-st-v2.7.FIRMA.txt	f785689642a16aad9649b4fe56425e74	89423172	live
d1d150c2-6c0e-478f-ae45-8e71183bffc1	lbl.gov_OV.HuEx-1_0-st-v2.13.gene.txt	35bc2baca68025881682ad51df2c984a	15828548	live
d24ceda1-c9b0-4f5d-ae94-d91e8839adf5	lbl.gov_GBM.HuEx-1_0-st-v2.20.gene.txt	6e3218f1410df3de600a47ebbb443409	15197164	live
d6552d95-f7cc-43ef-a587-621b737bf7d7	lbl.gov_GBM.HuEx-1_0-st-v2.4.FIRMA.txt	c3c067876e424d4c2fb17703f50e26d3	185191931	live
e145740b-597c-4c33-9f2a-3cc500c44dfb	lbl.gov_OV.HuEx-1_0-st-v2.19.FIRMA.txt	325e1674499cced501f6687512333f3d	197860008	live
e2ea25d5-34bc-49a6-a3c7-12bde3c1d40d	lbl.gov_OV.HuEx-1_0-st-v2.27.FIRMA.txt	5c07c185f957edcb1d991fa5166ea71e	91851876	live
e6082a71-b699-4a77-8f79-669b37693e1d	lbl.gov_GBM.HuEx-1_0-st-v2.4.gene.txt	628bc6fa781ae4643a9f91208e9a7139	15195503	live
ecab7035-f779-4e16-ba37-4b3b671039ac	lbl.gov_OV.HuEx-1_0-st-v2.24.FIRMA.txt	b92b18745b56c607944c2c0a0af4cfa5	186608810	live
effc212e-1760-40c0-9ce4-8ff32d1b01fa	lbl.gov_OV.HuEx-1_0-st-v2.21.FIRMA.txt	ac69db84bba5a0811d1c98d63e8f2e84	190255455	live
f6563311-09a6-4179-93f6-a83dbda22024	lbl.gov_OV.HuEx-1_0-st-v2.12.FIRMA.txt	6b33c4b52d4b9d734bbf9e04a104869a	190269442	live
fde6eac7-4ca0-40f3-9c8c-fd8f396cf85d	lbl.gov_GBM.HuEx-1_0-st-v2.38.gene.txt	eb13b946c4d417d86687f82d4e5010f6	9544691	live
